ticket_id,created_date,resolved_date,category,sub_category,priority,status,subject,description,resolution,product_service,department,satisfaction_rating,time_to_resolution_hours,text_length
TKT-10001,2025-05-09,2025-05-09 02:12:00,Access/Permissions,Account Lockout,Critical,Resolved,Account locked after password change,"hi there, changed my password yesterday and now i'm locked out this morning. i'm sure i'm using the new password. my phone and tablet might still have the old password saved. this is only happening on my machine. all work has stopped. this needs to be fixed in the next hour. appreciate the help.","Account lockout was caused by mobile devices trying to sync email with old password. Unlocked account, helped user update password on all devices (phone, tablet, home PC). No further lockouts.",Azure AD,Logistics,4.0,2.2,296
TKT-10002,2023-09-13,2023-09-13 07:48:00,Security,Malware,Critical,Closed,USB drive triggered security alert,plugged in a usb drive i got at a conference and my antivirus immediately flagged something. i ejected the drive right away. i'm working remotely today if that matters. this is completely blocking production — we are losing revenue every minute.,"USB contained autorun malware that was caught by endpoint protection before execution. Quarantined threat, scanned system — clean. Confiscated USB drive for analysis. Reminded user about policy against using unknown USB devices.",Palo Alto Cortex,Customer Support,3.0,7.8,245
TKT-10003,2025-01-28,2025-01-28 03:12:00,Hardware,Desktop,Critical,Closed,Need more RAM — computer too slow with current workload,my macbook pro m3 only has 8gb ram and i regularly need to run macbook pro m3 alongside multiple browser tabs and excel sheets. system grinds to a halt. can i get a ram upgrade? this has been going on for about a week now. i tried the usual troubleshooting steps. we have an sla breach in 30 minutes if this isn't resolved.,Approved RAM upgrade request. Installed additional 16GB (2x8GB) matching existing spec. System now has 24GB total. User confirmed significant performance improvement with their typical workload.,MacBook Pro M3,Product,3.0,3.2,323
TKT-10005,2025-01-11,2025-01-12 19:06:00,Hardware,Desktop,Low,Closed,Need more RAM — computer too slow with current workload,my dell precision 5570 only has 8gb ram and i regularly need to run dell precision 5570 alongside multiple browser tabs and excel sheets. system grinds to a halt. can i get a ram upgrade? i checked and my internet connection seems fine. not urgent. please address when convenient.,Approved RAM upgrade request. Installed additional 16GB (2x8GB) matching existing spec. System now has 24GB total. User confirmed significant performance improvement with their typical workload.,Dell Precision 5570,Customer Support,3.0,43.1,280
TKT-10006,2023-08-23,2023-08-23 05:36:00,Software,Installation,Critical,Resolved,Can't install Salesforce — access denied,trying to install salesforce on my workstation but i get an 'access denied' error. i don't have admin rights. this software was approved by my manager for my project work. i'm on a tight deadline so this is really blocking me. thanks.,Verified software approval in request system. Elevated user's session via LAPS and installed Salesforce. Added to the pre-approved software list for self-service deployment going forward.,Salesforce,Sales,2.0,5.6,234
TKT-10007,2025-11-05,2025-11-05 05:06:00,Email/Communication,Calendar,Critical,Resolved,Calendar showing wrong time zone,all my calendar events are showing up 3 hours off. a meeting at 10am shows at 1pm on my calendar. just got back from a business trip and it hasn't corrected itself. it was working fine until last friday.,Outlook time zone was still set to the travel destination. Reset time zone to local in Outlook settings and Windows system settings. Calendar events now display at correct times.,Slack,Logistics,3.0,5.1,203
TKT-10008,2023-09-15,2023-09-16 04:30:00,Hardware,Desktop,Low,Closed,Desktop making loud grinding noise,"my desktop pc started making a loud grinding noise yesterday. it's coming from inside the case, sounds like something is hitting a fan blade. i noticed this after the last update. i've rebooted twice, no change. no rush on this — just flagging it when you have time.",Opened case and found a loose cable had dropped into the CPU fan. Rerouted cables and zip-tied them away from fans. Also cleaned significant dust buildup while the case was open. Noise eliminated.,Dell Precision 5570,Customer Support,5.0,28.5,266
TKT-10009,2024-04-16,2024-04-17 20:00:00,Hardware,Desktop,Medium,Closed,Desktop not connecting to network after move,"moved my desktop to a new desk and now it can't connect to the network. ethernet cable is plugged in but the network icon shows disconnected. cable works fine with my laptop. i've rebooted twice, no change. this is slowing me down but i can work around it for now. let me know if you need more info.","Network port at new desk was not activated in the switch configuration. Enabled the port, assigned correct VLAN, and registered device MAC address. Desktop now on the network with full connectivity.",Surface Pro 9,Product,4.0,44.0,299
TKT-10010,2025-06-01,2025-06-02 04:06:00,Access/Permissions,Password Reset,Medium,Closed,Forgot my password,"hey team, i forgot my password over the long weekend and now i can't log in. already tried the self-service reset but it says my security questions don't match. can someone reset it for me? i tried logging out and back in. would appreciate a fix when you get a chance — moderately impactful. appreciate the help.",Verified user identity through manager confirmation and employee ID. Reset password and set it to force change on next login. Also updated security questions for future self-service resets.,Duo Security,Procurement,4.0,28.1,312
TKT-10012,2025-05-16,2025-05-16 17:18:00,Database,Performance,High,Closed,Database CPU at 100% during business hours,"hi, the production database server is pegged at 100% cpu from about 9am to 5pm. everything slows to a crawl. only happens on weekdays. i checked and my internet connection seems fine.",Identified a poorly optimized report query running every 15 minutes that was doing full table scans. Added appropriate indexes and rewrote the query to use them. CPU usage dropped from 100% to 35% during peak hours.,Azure SQL,Logistics,2.0,17.3,183
