department,category,priority,tickets,avg_hrs,avg_satisfaction
Finance,Cloud/Infrastructure,Critical,3,6.67,1.33
Human Resources,Cloud/Infrastructure,Critical,11,6.58,2.44
Logistics,Database,Critical,14,5.03,2.50
Engineering,Access/Permissions,Critical,10,5.06,2.50
Finance,Network,Critical,11,5.15,2.50
Operations,Email/Communication,High,19,14.53,2.50
Finance,Software,High,29,15.69,2.52
Sales,Email/Communication,High,13,13.96,2.55
Operations,Cloud/Infrastructure,Low,14,99.48,2.55
Human Resources,Access/Permissions,High,21,16.02,2.56
Procurement,Email/Communication,High,19,14.68,2.56
Logistics,Access/Permissions,Critical,8,5.06,2.57
Research,Email/Communication,High,19,16.48,2.58
Logistics,Network,High,30,14.89,2.58
Product,Network,Low,26,103.32,2.58
Product,Email/Communication,Medium,36,40.11,2.60
Sales,Access/Permissions,High,24,16.24,2.63
Procurement,Network,Low,23,94.68,2.63
Procurement,Cloud/Infrastructure,Medium,12,47.75,2.63
Marketing,Hardware,Critical,16,5.63,2.64
Marketing,Access/Permissions,High,21,16.59,2.64
Human Resources,Security,Low,9,113.30,2.67
Product,Software,High,25,15.51,2.67
Finance,Security,Critical,11,5.58,2.67
Executive,Cloud/Infrastructure,High,11,17.53,2.67
Human Resources,Email/Communication,Medium,29,45.90,2.71
Sales,Cloud/Infrastructure,Low,9,92.03,2.71
Legal,Database,Critical,9,4.99,2.71
Product,Hardware,Critical,18,4.73,2.73
Human Resources,Database,Critical,13,4.18,2.73
Executive,Security,Low,4,109.53,2.75
Finance,Database,Medium,21,43.88,2.75
Procurement,Network,Critical,5,4.63,2.75
Sales,Email/Communication,Medium,32,47.28,2.77
Finance,Cloud/Infrastructure,High,12,16.59,2.78
Customer Support,Software,High,25,14.88,2.79
Logistics,Email/Communication,High,12,13.36,2.80
Research,Hardware,Medium,53,43.82,2.81
Executive,Database,Medium,24,42.98,2.81
IT,Database,Medium,15,45.69,2.82
Product,Access/Permissions,Critical,13,4.99,2.82
Research,Email/Communication,Critical,18,5.08,2.82
Logistics,Software,Critical,7,3.97,2.83
Product,Security,Low,6,104.67,2.83
Product,Network,Critical,14,4.53,2.83
Legal,Network,High,34,14.22,2.84
Product,Network,High,27,13.07,2.85
Executive,Cloud/Infrastructure,Low,14,109.93,2.86
Legal,Hardware,Critical,13,5.44,2.86
Sales,Network,Low,27,97.76,2.86
Customer Support,Network,Low,31,106.24,2.87
Human Resources,Email/Communication,Critical,10,4.94,2.88
Customer Support,Database,High,15,13.63,2.88
Operations,Access/Permissions,High,25,13.68,2.90
Procurement,Cloud/Infrastructure,High,15,14.75,2.91
Research,Database,High,17,12.82,2.92
Logistics,Security,Critical,18,4.81,2.93
Engineering,Software,Medium,41,41.03,2.94
Human Resources,Hardware,High,27,13.23,2.94
Product,Email/Communication,High,20,13.11,2.94
Executive,Access/Permissions,High,29,13.78,2.95
