urgency,reason,key_issue,valid,error,ticket_id,original_priority,category
Medium,Security audit requirement,Outdated OS patch,True,,TKT-11602,Low,Software
High,100% CPU usage causing slowdowns and disruption to work,"High CPU utilization, weekday issue",True,,TKT-12931,High,Database
High,Consistent decline in network speed,Bandwidth limitations or network issue,True,,TKT-12126,High,Network
High,Missed meetings impact productivity,Email notifications issue,True,,TKT-19978,Medium,Email/Communication
Critical,Blocked application and team,Whitelist IP range,True,,TKT-11841,High,Network
Critical,Consistent decline in network speed causing SLA breach,Bandwidth limits or network issue,True,,TKT-11355,Critical,Network
Low,"Nobody can access new service, DNS issue",New service access and DNS resolution,True,,TKT-10053,Low,Network
Critical,Suspicious email causing critical customer-facing service unavailability,Suspicious email & service unavailability,True,,TKT-19241,Critical,Security
Critical,Multiple team members blocked on daily report printing.,Printer discovery and access issue after desk move,True,,TKT-12130,High,Hardware
Low,"No immediate threat, just removing former employee's access.",Dealing with access permissions,True,,TKT-15200,Low,Database
Critical,Completely down and users experiencing 503 errors.,Amazon S3 application failure,True,,TKT-10057,Low,Cloud/Infrastructure
Critical,Variable traffic blocking tight deadline,Auto-scaling for variable traffic,True,,TKT-12295,High,Cloud/Infrastructure
High,Connection timeout and error 0x8007045d while trying to access company VPN from home network. Issue started this morning and considered time-sensitive.,VPN Connectivity Problem,True,,TKT-14664,High,Network
Critical,Calendar system failure causing double bookings and work obstruction,Invalid bookings due to broken calendar,True,,TKT-14057,High,Email/Communication
Critical,Losing work & workflow disruption,Crashing and loss of data,True,,TKT-11614,High,Software
High,System slowdown affecting productivity,8GB RAM upgrade consideration,True,,TKT-19859,High,Hardware
High,App slow and timing out with connection timeouts,Connection Timeouts and Slow Application,True,,TKT-13751,Medium,Cloud/Infrastructure
High,Full license allocation,Need additional Salesforce licenses,True,,TKT-11954,Low,Software
Critical,"Application freezing with large files, affecting teamwork",Large file opening issue,True,,TKT-12715,High,Software
Critical,Immediate work disruption due to Salesforce inaccessibility,Crashing upon launch,True,,TKT-15533,High,Software
Critical,VPN disconnections impacting customer-facing services,Frequent disconnections and credential re-entry,True,,TKT-13653,Critical,Network
