category,priority,ticket_count,avg_resolution_hrs,avg_satisfaction
Access/Permissions,Critical,111,4.25,3.19
Access/Permissions,High,318,13.39,3.17
Access/Permissions,Low,552,84.33,3.24
Access/Permissions,Medium,568,35.49,3.46
Cloud/Infrastructure,Critical,155,4.25,3.25
Cloud/Infrastructure,High,168,13.21,3.18
Cloud/Infrastructure,Low,172,90.51,3.30
Cloud/Infrastructure,Medium,225,39.18,3.24
Database,Critical,166,4.19,3.27
Database,High,222,13.25,3.31
Database,Low,111,84.10,3.57
Database,Medium,270,39.67,3.24
Email/Communication,Critical,158,4.26,3.38
Email/Communication,High,213,13.74,3.02
Email/Communication,Low,302,89.19,3.23
Email/Communication,Medium,491,37.63,3.24
Hardware,Critical,235,4.43,3.22
Hardware,High,341,12.78,3.28
Hardware,Low,483,85.08,3.40
Hardware,Medium,758,37.07,3.22
Network,Critical,155,4.24,3.26
Network,High,422,13.24,3.13
Network,Low,319,90.94,3.17
Network,Medium,638,37.99,3.36
Security,Critical,174,4.48,3.27
Security,High,265,13.09,3.38
Security,Low,101,90.98,3.27
Security,Medium,167,36.12,3.60
Software,Critical,156,3.87,3.54
Software,High,360,13.58,3.13
Software,Low,475,89.33,3.23
Software,Medium,729,38.25,3.31
